կա	there is
կան	there are · Կան շատ հյուրեր իմ հյուրասենյակում։ — There are many guests in my living room.
անել	to do · Ի՞նչ ես անում։ — What are you doing? What do you do?
ուզել	to want
հասկանալ	to understand
միշտ	always · Մենք միշտ խոսում ենք հայերեն։ — We always speak Armenian.
սովորաբար	usually · Նրանք սովորաբար չեն խոսում հայերեն։ — They usually don't speak Armenian.
երբեք	never (pron. երփեք) · Նա երբեք չի խոսում հայերեն։ — He/she never speaks Armenian.
երբեմն / մեկ-մեկ	sometimes (pron. երփեմըն)
նա	she, he
Աննա	Anna (female name)
սանր	comb · Սա իմ սանրն է, իսկ սա Արուսի սանրն է։ — This is my comb, and this is Arus's comb.
նույն	same
նման	similar, like
նուշ	almond
նշան	sign
նվեր	gift
նկար	picture (pl. նկարներ) · Սա իմ նկարն է, իսկ սա Արամի նկարն է։ — This is my picture, and this is Aram's picture.
նկարագրություն	description
նաև	also
ամիս	month (gen. ամսի) · Այսօր ամսի քանի՞սն է։ — What is the date today?
միս	meat
մարմին	body
Արամ	Aram (male name)
Արման	Arman (male name)
Իրան	Iran (Իրանում — in Iran) · Իրանում կարմիր սունկ կա։ — In Iran there is a red mushroom.
կարմիր	red · մեծ կարմիր պայուսակ — big red bag
մասին	about · Իմ մասին · Արամի մասին · Իրանի մասին — about me · about Aram · about Iran
մարդամոտ	sociable
մարդասպան	murderer
մանկություն	childhood
մաղթանք	wish, blessing
մկրատ	scissors
մուկ	mouse (pl. մկներ)
