id	hy	en	phrase_hy	phrase_en	lesson	tags	note
v0001	ճաշ	meal, lunch			1	noun,food,letters	lit. meal
v0002	ճաշել	to have lunch			1	verb,food,letters	
v0003	ճաշասենյակ	dining room			1	noun,home,letters	
v0004	ճանապարհ	road, way			1	noun,city,travel,letters	
v0005	ճանապարհորդել	to travel			1	verb,travel,letters	
v0006	հաճելի	pleasant			1	adjective,letters	
v0007	հաճախ	often			1	adverb,time,letters	
v0008	ճամպրուկ	suitcase			1	noun,travel,letters	
v0009	օճառ	soap			1	noun,home,letters	
v0010	սուրճ	coffee	Մենք սուրճ էինք խմում։	We were drinking coffee.	1	noun,drinks,letters	
v0011	սրճարան	café	Սրճարան / Սրճարանից	to the café / from the café	1	noun,city,letters	pron. սըրճարան
v0012	ճիշտ	right, correct			1	adjective,letters	
v0013	կարճ	short			1	adjective,letters	
v0014	ճակատ	forehead			1	noun,face,letters	
v0015	ճակատագիր	destiny, fate			1	noun,abstract,letters	
v0016	զրո	zero			1	numeral,numbers,letters	
v0017	զուգարան	toilet			1	noun,home,letters	pron. զուքարան
v0018	զգեստ	dress	Զգեստդ գեղեցիկ է, որտեղի՞ց ես գնել։	Your dress is beautiful, where did you buy it?	1	noun,clothes,letters,from-exercise	
v0019	զարթուցիչ	alarm clock			1	noun,home,letters	
v0020	հազար	thousand			1	numeral,numbers,letters	
v0021	գազար	carrot			1	noun,food,letters	
v0022	բազմոց	sofa			1	noun,furniture,letters,home	
v0023	բազկաթոռ	armchair			1	noun,furniture,letters,home	
v0024	զարմանալ	to be surprised			1	verb,feelings,letters	
v0025	զգալ	to feel			1	verb,feelings,letters,from-exercise	
v0026	երազ	dream			1	noun,abstract,letters	
v0027	երազել	to dream			1	verb,letters	
v0028	զանգ	bell			1	noun,letters	
v0029	զանգել	to phone, to call	Երեկոյան կզանգեմ, կզրուցենք։	I will call in the evening, we will talk.	1	verb,letters	
v0030	զրուցել	to talk, to converse			1	verb,letters	
v0031	ձու	egg			1	noun,food,letters	
v0032	ձեթ	oil			1	noun,food,letters	
v0033	ձուկ	fish			1	noun,food,nature,letters	pl. ձկներ
v0034	ձայն	voice			1	noun,letters,from-exercise	
v0035	ձյուն	snow	Ձյուն գալիս է։	It is snowing.	1	noun,weather,letters	spoken: Ձյուն գալիս ա
v0036	ձմեռ	winter	Ձմռանը	in winter	1	noun,seasons,letters	
v0037	ձեռք	hand			1	noun,body,letters	
v0038	ձեռնոց	glove	Գիտե՞ս որտեղ է իմ ձեռնոցը։	Do you know where my glove is?	1	noun,clothes,letters	
v0039	ձեռագիր	handwriting			1	noun,letters	
v0040	ձմերուկ	watermelon			1	noun,food,letters	
v0041	բարձր	high			1	adjective,letters	pron. բարցր
v0042	բարձ	pillow			1	noun,home,letters,furniture	pron. բարց
v0043	դեղձ	peach			1	noun,food,letters	
v0044	տանձ	pear			1	noun,food,letters	
v0045	խնձոր	apple			1	noun,food,letters	
v0046	սոված	hungry	Սոված եմ	I am hungry	1	adjective,feelings	
v0047	կուշտ	full (not hungry)	Կուշտ եմ	I am full	1	adjective,feelings	
v0048	հոգնած	tired	Հոգնած եմ	I am tired	1	adjective,feelings,letters	pron. հոքնած
v0049	ուրախ	glad	Ես ուրախ եմ։	I am glad.	1	adjective,feelings	
v0050	այո / հա	yes (formal / informal)			1	other,colloquial	
v0051	ոչ / չէ	no (formal / informal)			1	other,colloquial	
v0052	բայց	but			1	conjunction,letters	
v0053	Բարև ձեզ	Hello!			1	phrase,greetings	
v0054	Ողջույն	Hi!			1	other,greetings	
v0055	Բարի լույս	Good morning!			1	phrase,greetings	
v0056	Բարի օր	Good afternoon!			1	phrase,greetings	
v0057	Բարի երեկո	Good evening!			1	phrase,greetings	
v0058	Բարի գիշեր	Good night!			1	phrase,greetings	
