with you (sg.)	քեզ հետ
for you (sg.)	քեզ համար
with my friend	ընկերոջս հետ
with my parents	իմ ծնողների հետ
before / after our class	մեր դասից առաջ / հետո
without milk	առանց կաթի
until the Armenian lesson	մինչև հայերենի դասը
with us	մեզ հետ
during the week	շաբաթվա ընթացքում
for (postposition)	համար
about (postposition)	մասին
with (postposition)	հետ
on (postposition)	վրա
under (postposition)	տակ
near, at (postposition)	մոտ
in, among (postposition)	մեջ
around (postposition)	շուրջը
between (postposition)	միջև
above, upstairs	վերևում
below, downstairs	ներքևում
next to, beside	կողքին
across from	դիմաց
through	միջով
for Anna	Աննայի համար
on the table	սեղանի վրա
through the park	այգու միջով
