կարողանալ → I can	Ես կարող եմ
կարողանալ → you (sg.) can	Դու կարող ես
կարողանալ → he/she can	Նա կարող է
կարողանալ → we can	Մենք կարող ենք
կարողանալ → you (pl.) can	Դուք կարող եք
կարողանալ → they can	Նրանք կարող են
կարողանալ → I can't	Ես չեմ կարող
կարողանալ → he/she can't	Նա չի կարող
կարողանալ → they can't	Նրանք չեն կարող
Can you help me?	Կարո՞ղ ես օգնել ինձ։
I can meet my friends very often.	Կարող եմ հանդիպել իմ ընկերներին շատ հաճախ։
I can't stay.	Չեմ կարող մնալ։
Anything can happen.	Ամեն ինչ կարող է պատահել։
