առաջին	1st — first · Ես առաջին անգամ եմ Երևանում — I'm in Yerevan for the first time
երկրորդ	2nd — second · Երկրորդ անգամ — for the second time
երրորդ	3rd — third
չորրորդ	4th — fourth · Իմ ընկերը ապրում է չորրորդ հարկում — My friend lives on the 4th floor
հինգերորդ	5th — fifth
վեցերորդ	6th — sixth
յոթերորդ	7th — seventh
ութերորդ	8th — eighth
իններորդ	9th — ninth
տասներորդ	10th — tenth
տասնմեկերորդ	11th — eleventh
անգամ	time, occasion (pron. անքամ) · Երկու անգամ — two times
կրկնել	to repeat (pron. կըրկընել) · Նրանք չեն ուզում կրկնել չորրորդ անգամ — They don't want to repeat it for the fourth time
Տասներկուսն է	It is the 12th (of the month)
քրոջ	sister's
հայրիկի	father's
պապիկի	grandfather's (source prompt says grandmother's)
