prompt	answer	rule	lesson	tags
Monday	երկուշաբթի	dates	7	calendar
Tuesday	երեքշաբթի	dates	7	calendar
Wednesday	չորեքշաբթի	dates	7	calendar
Thursday	հինգշաբթի	dates	7	calendar
Friday	ուրբաթ	dates	7	calendar
Saturday	շաբաթ	dates	7	calendar
Sunday	կիրակի	dates	7	calendar
What day is it today?	Ի՞նչ օր է այսօր։	dates	7	calendar,question
January	հունվար	dates	9	calendar
February	փետրվար	dates	9	calendar
March	մարտ	dates	9	calendar
April	ապրիլ	dates	9	calendar
May	մայիս	dates	9	calendar
June	հունիս	dates	9	calendar
July	հուլիս	dates	9	calendar
August	օգոստոս	dates	9	calendar
September	սեպտեմբեր	dates	9	calendar
October	հոկտեմբեր	dates	9	calendar
November	նոյեմբեր	dates	9	calendar
December	դեկտեմբեր	dates	9	calendar
What is the date today?	Այսօր ամսի քանի՞սն է։	dates	9	calendar,question
Today is the 8th of January.	Այսօր հունվարի ութն է։	dates	9	calendar
On what date?	Ամսի քանիսի՞ն։	dates	9	calendar,question
on the 8th of January	հունվարի ութին	dates	9	calendar,dative
the day before yesterday	երեկ չէ առաջին օրը	dates	15	calendar
the day after tomorrow	վաղը չէ մյուս օրը	dates	15	calendar
last week	անցյալ / անցած շաբաթ	dates	18	calendar
next week	հաջորդ շաբաթ	dates	28	calendar
this month	այս ամիս	dates	12	calendar
