this (as a noun)	սա
that, it (as a noun)	դա
that one over there (as a noun)	նա
these	սրանք
those	դրանք
those over there	նրանք
this + noun	այս … ը/ն
that + noun	այդ … ը/ն
that (over there) + noun	այն … ը/ն
this book	այս գիրքը
these books	այս գրքերը
What is this? — This is a book.	Ի՞նչ է սա։ — Սա գիրք է։
What are these? — These are photographs.	Ինչե՞ր են սրանք։ — Սրանք լուսանկարներ են։
here (spoken?)	այստեղ (spoken ստեղ)
there (spoken?)	այդտեղ (spoken ըտեղ)
over there (spoken?)	այնտեղ (spoken ընդեղ)
in this way (spoken?)	այսպես (spoken սենց)
in that way (spoken?)	այդպես (spoken տենց)
this much (spoken?)	այսքան (spoken էսքան)
that much (spoken?)	այդքան (spoken էդքան)
such, this kind of	այսպիսի
such (that kind, far)	այնպիսի
