վարսավիր	hairdresser
կտրել	to cut, to trim
ինքնավստահություն	self-confidence (pron. ինք-նա-վըս-տա-հություն)
տրամադրություն	mood (spoken) · Կարևոր ա, որ քո տրամադրությունը բարձր ա — It's important that you are in a good mood
հեշտ	easy
երբեմն	sometimes · Երբեմն շատ սեքս անելը կարող է հոգնեցուցիչ լինել։ — Sometimes having a lot of sex can be tiring
երաժիշտ	musician (музыкант)
ուկրաինացի	Ukrainian (person) (украинец / украинка)
ընթացքում	during, within · Շաբաթվա ընթացքում — During the week
բույր	scent
երկինք	sky
տերև	leaf
աղմուկ	noise
բռնակ	handle
պահ	moment
պայծառ	bright
աշխատավարձ	salary
