hy	en	phrase_hy	phrase_en	lesson	tags	note
շաբաթվա համար	for the week			22	phrase,time	
շիշ	bottle	Մի շիշ կարմիր գինի	A bottle of red wine	22	noun,drinks	
մեղր	honey			22	noun,food	
երբեք	never	Ես երբեք չեմ եղել Մադրիդում	I have never been to Madrid	22	adverb,time	
երբևէ	ever	Դու երբևէ եղե՞լ ես Մադրիդում։	Have you ever been to Madrid?	22	adverb,time	
եղել եմ	I have been (perfect of լինել)	Ես եղել եմ Մադրիդում	I have been to Madrid	22	phrase	
շուշուտ արի	come quickly, hurry up			22	phrase,colloquial	
ուրեմն	so, that means			22	conjunction	
դեռ	still, yet	Դեռ կես ժամ ունենք	We still have half an hour	22	adverb,time	
մինչև	until, before	մինչև հայերենի դասը	before the Armenian lesson	22	postposition,time	
միասին	together			22	adverb	
պարապել	to practise, to study	Արի միասին հայերենի դասը պարապենք	Let's practise the Armenian lesson together	22	verb,school	
պատրաստ	ready	Ես պատրաստ եմ	I am ready	22	adjective	
կողք	side	Կողքս նստի՛ր	Sit next to me	22	noun	
օգնել	to help	Ինձ օգնի՛ր	Help me	22	verb	pron. օքնել
ամիս	month	Այսօր ամսի քանի՞սն է։	What is the date today?	22	noun,calendar	gen. ամսի
գրադարան	library	Գրադարանից	From the library	22	noun,city	
Ժամը քանի՞սն է։	What time is it?			22	question,time	
Ժամը քանիսի՞ն։	At what time?			22	question,time	
ժամ	hour; o'clock	Ժամը մեկն է	It is one o'clock	22	noun,time	
կես	half	Ժամը մեկ անց կես է	It is half past one	22	noun,time	
կես ժամ	half an hour			22	phrase,time	
քառորդ	quarter	Մեկն անց քառորդ է	It is a quarter past one	22	noun,time	
անց	past (of the hour)	Մեկն անց հինգ է	It is five past one (1:05)	22	other,time	
պակաս	to (of the hour), less	Մեկից հինգ է պակաս	It is five to one (12:55)	22	other,time	
րոպե	minute	Ուղիղ երեսուն րոպե	Exactly thirty minutes	22	noun,time	
ուղիղ	exactly (of time); straight			22	adverb	
