համբույր	kiss (pron. համփույր)
համբուրել	to kiss
Դու սիրո՞ւմ ես ինձ	Do you love me?
կարողանալ	can, to be able to · Ես կարող եմ / Ես չեմ կարող — I can / I cannot
ծնունդ	birthday · Ե՞րբ է քո ծնունդը — When is your birthday?
վերադառնալ	to return
հաջորդ	next · հաջորդ շաբաթ — next week
Տարվա ամիսներ	Months of the year
հունվար	January
փետրվար	February
մարտ	March
ապրիլ	April
մայիս	May
հունիս	June
հուլիս	July
օգոստոս	August
սեպտեմբեր	September
հոկտեմբեր	October
նոյեմբեր	November
դեկտեմբեր	December
Այսօր ամսի քանի՞սն է	What is the date today?
Այսօր հունվարի ութն է	Today is the 8th of January
Ամսի քանիսի՞ն	On what date?
Հունվարի ութին	On the 8th of January
օգնել	to help (pron. օքնել) · Ինձ օգնի՛ր — Help me
փակել	to close
քեզ համար	for you
դուռ	door (pl. դռներ)
լուսամուտ / պատուհան	window
ինձ	me
