prompt	answer	rule	lesson	tags
գարուն → genitive	գարնան	genitive	36	genitive,an
ամառ → genitive	ամռան	genitive	36	genitive,an
աշուն → genitive	աշնան	genitive	36	genitive,an
ձմեռ → genitive	ձմռան	genitive	36	genitive,an
հանդիպում → genitive	հանդիպման	genitive	36	genitive,an
հաջողություն → genitive	հաջողության	genitive	36	genitive,an
առողջություն → genitive	առողջության	genitive	36	genitive,an
դուռ → genitive	դռան	genitive	36	genitive,an
մուկ → genitive	մկան	genitive	36	genitive,an
շաբաթ → genitive (of the week)	շաբաթվա	genitive	36	genitive,va
տարի → genitive	տարվա	genitive	36	genitive,va
երեկ → genitive (yesterday's)	երեկվա	genitive	36	genitive,va
այսօր → genitive (today's)	այսօրվա	genitive	36	genitive,va
ընկեր → genitive	ընկերոջ	genitive	38	genitive,oj
քույր → genitive	քրոջ	genitive	38	genitive,oj
կին → genitive	կնոջ	genitive	38	genitive,oj
մայր → genitive	մոր	genitive	38	genitive,o
հայր → genitive	հոր	genitive	38	genitive,o
եղբայր → genitive	եղբոր	genitive	38	genitive,o
մարդ → genitive	մարդու	genitive	38	genitive,u
որդի → genitive	որդու	genitive	38	genitive,u
գրել → genitive (of writing)	գրելու	genitive	38	genitive,u,infinitive
աղջիկ → genitive	աղջկա	genitive	40	genitive,irregular
սեր → genitive	սիրո	genitive	40	genitive,irregular
մարդիկ → genitive	մարդկանց	genitive	40	genitive,irregular
կատու → genitive	կատվի	genitive	40	genitive,irregular
լեզու → genitive	լեզվի	genitive	40	genitive,irregular
Աննա → genitive	Աննայի	genitive	41	genitive,i
ամիս → genitive (date: what day of the …)	ամսի	genitive	22	genitive,i
in spring (season + article)	գարնանը	genitive	19	genitive,time
