prompt	answer	rule	lesson	tags
կարդալ → I am going to read	Ես կարդալու եմ	future-u	28	future
կարդալ → you (sg.) are going to read	Դու կարդալու ես	future-u	28	future
կարդալ → he/she is going to read	Նա կարդալու է	future-u	28	future
կարդալ → we are going to read	Մենք կարդալու ենք	future-u	28	future
կարդալ → they are going to read	Նրանք կարդալու են	future-u	28	future
կարդալ → I am not going to read	Ես չեմ կարդալու	future-u	28	future,negation
կարդալ → he/she is not going to read	Նա չի կարդալու	future-u	28	future,negation
գնալ → going to go (form)	գնալու	future-u	18	future
գնել → going to buy (form)	գնելու	future-u	18	future
When are we going to have breakfast?	Ե՞րբ ենք նախաճաշելու։	future-u	20	future,question
It is going to rain.	Անձրև է գալու։	future-u	19	future,weather
Everything is going to be fine.	Ամեն ինչ լավ է լինելու։	future-u	33	future
What are you going to do after our class?	Ի՞նչ ես անելու մեր դասից հետո։	future-u	37	future,question
ուտել → (Why are you going?) To eat.	Ուտելու։	future-u	16	purpose
խաղալ → in order to play	խաղալու	future-u	16	purpose
soon	շուտով	future-u	28	time
the day after tomorrow	վաղը չէ մյուս օրը	future-u	28	time
next week	հաջորդ շաբաթ	future-u	28	time
