in spring (season + article)	գարնանը
ամիս → genitive (date: what day of the …)	ամսի
գարուն → genitive	գարնան
ամառ → genitive	ամռան
աշուն → genitive	աշնան
ձմեռ → genitive	ձմռան
հանդիպում → genitive	հանդիպման
հաջողություն → genitive	հաջողության
առողջություն → genitive	առողջության
դուռ → genitive	դռան
մուկ → genitive	մկան
շաբաթ → genitive (of the week)	շաբաթվա
տարի → genitive	տարվա
երեկ → genitive (yesterday's)	երեկվա
այսօր → genitive (today's)	այսօրվա
ընկեր → genitive	ընկերոջ
քույր → genitive	քրոջ
կին → genitive	կնոջ
մայր → genitive	մոր
հայր → genitive	հոր
եղբայր → genitive	եղբոր
մարդ → genitive	մարդու
որդի → genitive	որդու
գրել → genitive (of writing)	գրելու
աղջիկ → genitive	աղջկա
սեր → genitive	սիրո
մարդիկ → genitive	մարդկանց
կատու → genitive	կատվի
լեզու → genitive	լեզվի
Աննա → genitive	Աննայի
