կարճ → antonym	երկար
բարակ → antonym	հաստ
բարձր → antonym	ցածր
բարձրահասակ (բոյով) → antonym	ցածրահասակ (կոլոտ)
գեր (չաղ) → antonym	նիհար
ուժեղ → antonym	թույլ
հարուստ → antonym	աղքատ
հին → antonym	նոր
ծեր → antonym	երիտասարդ
տխուր → antonym	ուրախ
more (comparative word)	ավելի
less (comparative word)	պակաս
than	քան
the most (prefix)	ամենա-
from all (superlative word)	ամենից
լավ → better	ավելի լավ
լավ → less good	պակաս լավ
լավ → the best	ամենալավ / լավագույն
մեծ → the biggest	ամենամեծ / մեծագույն
սիրուն → the prettiest	ամենասիրուն
սովորական → more ordinary	ավելի սովորական
She is kinder than me.	Նա ավելի բարի է, քան ես։
հեշտ → antonym	դժվար
