prompt	answer	rule	lesson	tags
I was	ես էի	past-of-to-be	18	past
you (sg.) were	դու էիր	past-of-to-be	18	past
he/she was	նա էր	past-of-to-be	18	past
we were	մենք էինք	past-of-to-be	18	past
you (pl.) were	դուք էիք	past-of-to-be	18	past
they were	նրանք էին	past-of-to-be	18	past
I wasn't	ես չէի	past-of-to-be	18	past,negation
he/she wasn't	նա չէր	past-of-to-be	18	past,negation
they weren't	նրանք չէին	past-of-to-be	18	past,negation
ուտել → I was eating	Ես ուտում էի	past-of-to-be	18	imperfect
ուտել → you (sg.) were eating	Դու ուտում էիր	past-of-to-be	18	imperfect
ուտել → he/she was eating	Նա ուտում էր	past-of-to-be	18	imperfect
ուտել → we were eating	Մենք ուտում էինք	past-of-to-be	18	imperfect
ուտել → I wasn't eating	Ես չէի ուտում	past-of-to-be	18	imperfect,negation
What were you doing yesterday?	Ի՞նչ էիր անում երեկ։	past-of-to-be	24	imperfect,question
We were drinking coffee.	Մենք սուրճ էինք խմում։	past-of-to-be	19	imperfect,word-order
I was at home all day.	Ես տանն էի ողջ օրը։	past-of-to-be	19	past
Yesterday I was glad.	Երեկ ես ուրախ էի։	past-of-to-be	18	past
the day before yesterday	երեկ չէ առաջին օրը	past-of-to-be	18	time
last week	անցյալ շաբաթ	past-of-to-be	18	time
last month	անցյալ ամիս	past-of-to-be	18	time
