prompt	answer	rule	lesson	tags
իմ ընտանիք → definite	իմ ընտանիքը	definite-article	3	article
քո քույր → definite	քո քույրը	definite-article	3	article
մեր որդի → definite	մեր որդին	definite-article	3	article
Սա իմ մատիտ__ է (This is my pencil)	ն	definite-article	3	article
Կարեն__ ու Աննա__ (Karen and Anna)	Կարենն ու Աննան	definite-article	3	article
Ես տան__ եմ (I am at home)	ն	definite-article	6	article
Ո՞ւմ գիրք__ է սա (Whose book is this?)	ն	definite-article	7	article,question
Ո՞ր մեկ__ է քո տունը (Which one is your house?)	ն	definite-article	7	article,question
yours (from քո)	քոնը	definite-article	7	article
the last one (վերջին)	վերջինը	definite-article	14	article
the next one (հաջորդ)	հաջորդը	definite-article	14	article
this book (այս գիրք)	այս գիրքը	definite-article	16	article,demonstrative
these books (այս գրքեր)	այս գրքերը	definite-article	16	article,demonstrative
Դրանք իմ գրքեր__ են (Those are my books)	ն	definite-article	16	article
Ժամը մեկ__ է (It is one o'clock)	ն	definite-article	22	article,time
