I was	ես էի
you (sg.) were	դու էիր
he/she was	նա էր
we were	մենք էինք
you (pl.) were	դուք էիք
they were	նրանք էին
I wasn't	ես չէի
he/she wasn't	նա չէր
they weren't	նրանք չէին
ուտել → I was eating	Ես ուտում էի
ուտել → you (sg.) were eating	Դու ուտում էիր
ուտել → he/she was eating	Նա ուտում էր
ուտել → we were eating	Մենք ուտում էինք
ուտել → I wasn't eating	Ես չէի ուտում
Yesterday I was glad.	Երեկ ես ուրախ էի։
the day before yesterday	երեկ չէ առաջին օրը
last week	անցյալ շաբաթ
last month	անցյալ ամիս
We were drinking coffee.	Մենք սուրճ էինք խմում։
I was at home all day.	Ես տանն էի ողջ օրը։
What were you doing yesterday?	Ի՞նչ էիր անում երեկ։
