Where are you from? — I am from Georgia.	Որտեղի՞ց ես։ — Ես Վրաստանից եմ։
Հայաստան → language	հայերեն
Ռուսաստան → language	ռուսերեն
German (language)	գերմաներեն
Italian (language)	իտալերեն
English (language)	անգլերեն
Հայաստան → nationality	հայ
Հայաստան → adjective	հայկական
Հունաստան → nationality	հույն
Հունաստան → language	հունարեն
Հունաստան → adjective	հունական
Ռուսաստան → nationality	ռուս
Վրաստան → nationality	վրացի
Վրաստան → language	վրացերեն
Ֆրանսիա → nationality	ֆրանսիացի
Ֆրանսիա → language	ֆրանսերեն
Ֆրանսիա → adjective	ֆրանսիական
Չինաստան → nationality	չինացի
Չինաստան → language	չինարեն
Ամերիկա (ԱՄՍ) → nationality	ամերիկացի
Ամերիկա (ԱՄՍ) → language	անգլերեն
Ամերիկա (ԱՄՍ) → adjective	ամերիկյան
Անգլիա → nationality	անգլիացի
Ճապոնիա → nationality	ճապոնացի
Ճապոնիա → language	ճապոներեն
Հնդկաստան → nationality	հնդիկ
Թուրքիա → nationality	թուրք
Իրան / Պարսկաստան → nationality	իրանցի / պարսիկ
Սիրիա → language	արաբերեն
Բրազիլիա → language	պորտուգալերեն
