Բարի վերադարձ	welcome back
նվագել	to play music
էլ	also, as well, too · Նա Իլյայի ընկերն էլ է — He is Ilia's friend as well
Մի խոսքով	in a word, in short (короче)
ամեն ինչ	everything · Դու ուզում ես իմանալ ամեն ինչ — You want to know everything
ահավոր	terribly, awfully (ужасно) · Ահավոր շոգ — Terribly hot
Ի՞նչ եղանակ է այսօր։	What's the weather like today? (spoken: Ի՞նչ եղանակ ա այսօր)
Կարող ես ասել «Այսօր ամսի քանի՞սն է, շաբաթվա ո՞ր օրն է ու ժամը քանի՞սն է»։	Can you say: what is the date today, what day of the week is it and what time is it?
ձանձրալի	boring
արտահայտել	to express
արտահայտություն	expression
նախագիծ	plan, project (gen. նախագծի)
գեղեցիկ	beautiful
միակ	the only · Իմ միակ պլանը քնելն է — The only plan I have is to sleep
կենտրոնանալ	to focus
Իմ ընկերներից երկուսը	two of my friends
ֆրանսիացի	French (person)
տեր	owner (gen. տիրոջ)
հորաքույր	paternal aunt (gen. հորաքրոջ)
մորաքույր	maternal aunt (gen. մորաքրոջ)
հորեղբայր	paternal uncle (gen. հորեղբոր)
մորեղբայր	maternal uncle (gen. մորեղբոր)
կնքահայր	godfather (gen. կնքահոր)
կնքամայր	godmother (gen. կնքամոր)
ամուսին	husband (gen. ամուսնու)
քեռի	maternal uncle (gen. քեռու)
հայաստանցի	person from Armenia (gen. հայաստանցու)
ձի	horse (gen. ձիու)
ոսկի	gold (gen. ոսկու)
պայուսակ	bag
կոշիկ	shoe
ակնոց	glasses
մեքենա	car
նամակ	letter
անձնագիր	passport
օծանելիք	perfume
մատանի	ring
պոչ	tail
գին	price
