և այլն	etc., and so on
հարմար	convenient, comfortable
վրա	on · Պայուսակը սեղանի վրա է։ — The bag is on the table
տակ	under · Մահճակալի տակ ոչինչ չկա։ — There is nothing under the bed
մոտ	near, at · Տան մոտ շատ մարդիկ կան։ — There are many people near the house
մեջ	in, among · Մատիտը գրքի մեջ է։ — The pencil is in the book
շուրջը	around · Մենք հավաքվել ենք տոնածառի շուրջը։ — We have gathered around the Christmas tree
միջև	between · Մեր միջև էլ սեր չկա։ — There is no more love between us
վերև / վերևում	above, up, upstairs · Վերևում ոչ ոք չի ապրում։ — Nobody lives upstairs
ներքև / ներքևում	below, down, downstairs · Ներքևում աղմուկ է։ — There is noise downstairs
կողքին	next to, beside · Այշեն միշտ նստում է իմ կողքին։ — Ayshe always sits next to me
դիմաց	across, across from, in front of · Դպրոցի դիմաց մեծ այգի կա։ — Across from the school there is a big orchard
միջով	through · Նա քայլեց այգու միջով, որ տուն հասնի։ — She walked through the park to get home
դիվանագիտական հարաբերություն	diplomatic relationship
