իմ ընտանիք → definite	իմ ընտանիքը
քո քույր → definite	քո քույրը
մեր որդի → definite	մեր որդին
Սա իմ մատիտ__ է (This is my pencil)	ն
Կարեն__ ու Աննա__ (Karen and Anna)	Կարենն ու Աննան
Ես տան__ եմ (I am at home)	ն
Ո՞ւմ գիրք__ է սա (Whose book is this?)	ն
Ո՞ր մեկ__ է քո տունը (Which one is your house?)	ն
yours (from քո)	քոնը
the last one (վերջին)	վերջինը
the next one (հաջորդ)	հաջորդը
this book (այս գիրք)	այս գիրքը
these books (այս գրքեր)	այս գրքերը
Դրանք իմ գրքեր__ են (Those are my books)	ն
Ժամը մեկ__ է (It is one o'clock)	ն
