անելիք	things to do · Ի՞նչ անելիքներ ունես այսօր։ — What do you have to do today?
անտառ	forest
ճիշտն ասած / անկեղծ ասած	honestly speaking, to tell the truth
Թուրքիա	Turkey
թուրք	Turk
թուրքերեն	Turkish (language)
թուրքական	Turkish · թուրքական թեյ — Turkish tea
Հնդկաստան	India
հնդկերեն	Hindi
հնդկական	Indian · հնդկական փիղ — Indian elephant
Պարսկաստան / Իրան	Persia / Iran
պարսիկ / իրանցի	Persian / Iranian (person)
պարսկերեն	Persian (language)
պարսկական / իրանական	Persian / Iranian · պարսկական գորգ — Persian rug
Չինաստան	China
չինացի	Chinese (person)
չինարեն	Chinese (language)
չինական	Chinese · չինական պատ — the Great Wall of China
վրացի	Georgian (person)
վրացերեն	Georgian (language)
վրացական	Georgian · վրացական խինկալի — Georgian khinkali
ռուսական	Russian · ռուսական օղի — Russian vodka
Ամերիկա / ԱՄՆ	America / USA
ամերիկացի	American (person)
ամերիկյան	American · ամերիկյան դեսպանատուն — the American embassy
Անգլիա	England
անգլիացի	English (person)
անգլիական	English · անգլիական թեյ — English tea
ֆրանսերեն	French (language)
ֆրանսիական	French · ֆրանսիական խոհանոց — French cuisine
Սիրիա	Syria
սիրիացի	Syrian (person)
արաբերեն	Arabic
սիրիական	Syrian · սիրիական ուտելիքներ — Syrian food
Կանադա	Canada
կանադացի	Canadian (person)
կանադական	Canadian · կանադական պատմություն — Canadian history
ճապոնացի	Japanese (person)
ճապոներեն	Japanese (language)
ճապոնական	Japanese · ճապոնական խոհանոց — Japanese cuisine
Իտալիա	Italy
իտալացի	Italian (person)
իտալական	Italian · իտալական պաղպաղակ — Italian ice cream
իսպանացի	Spanish (person)
իսպաներեն	Spanish (language)
իսպանական	Spanish
Շվեդիա	Sweden
շվեդ / շվեդուհի	Swede (male / female)
շվեդերեն	Swedish (language)
շվեդական	Swedish
Պորտուգալիա	Portugal
պորտուգալացի	Portuguese (person)
պորտուգալերեն	Portuguese (language)
պորտուգալական	Portuguese
Բրազիլիա	Brazil
բրազիլացի	Brazilian (person)
բրազիլական	Brazilian
կորեացի	Korean (person)
կորեերեն	Korean (language)
Ադրբեջան	Azerbaijan
ադրբեջանցի	Azerbaijani (person)
ադրբեջաներեն	Azerbaijani (language)
ադրբեջանական	Azerbaijani
Գերմանիա	Germany
գերմանացի	German (person)
գերմանական	German
