at ten	ժամը տասին
an hour and a half	մի ժամ ու կես
What time is it?	Ժամը քանի՞սն է։
It is one o'clock.	Ժամը մեկն է։
It is two o'clock.	Ժամը երկուսն է։
It is half past one.	Ժամը մեկ անց կես է։
It is half past eight.	Ութն անց կես է։
It is a quarter past one.	Մեկն անց քառորդ է։
It is 1:05.	Մեկն անց հինգ է։
It is five to one (12:55).	Մեկից հինգ է պակաս։
At what time?	Ժամը քանիսի՞ն։
at one	ժամը մեկին
at two	ժամը երկուսին
at half past one	ժամը մեկ անց կեսին
at a quarter past one	մեկն անց քառորդին
at 1:05	մեկն անց հինգին
at five to one	մեկից հինգ պակաս
half an hour	կես ժամ
exactly thirty minutes	ուղիղ երեսուն րոպե
in an hour	մի ժամից
