ճամփորդել	to travel
հոգնեցուցիչ	tiring (утомляющий) (pron. հոքնեցուցիչ)
կեղտոտ	dirty
Հեսա ասեմ	I'll tell you in a second (щас скажу) (spoken)
գործի համար	for work
զանգվել	to call each other, to get in touch by phone (созваниваться) · Պետք ա զանգվեմ իմ գործընկերների հետ — I have to get on a call with my colleagues
կապի մեջ	in touch (на связи) · Կապի մեջ, կզանգվենք — We're in touch, we'll call each other (на связи, созвонимся)
քայլ	step
գաղափար չունեմ	no idea, I have no idea (գաղափար — idea)
իդեպ	by the way
Անունը գրած չի	The name is not written (имя не написано) (spoken)
