prompt	answer	rule	lesson	tags
Where are you from?	Որտեղի՞ց ես։	ablative	1	ablative,question
Վրաստան → I am from Georgia	Ես Վրաստանից եմ։	ablative	1	ablative,countries
տուն → from home	տնից	ablative	15	ablative
բանկ → from the bank	բանկից	ablative	15	ablative
հյուրանոց → from the hotel	հյուրանոցից	ablative	15	ablative
սրճարան → from the cafe	սրճարանից	ablative	15	ablative
դեղատուն → from the pharmacy	դեղատնից	ablative	15	ablative
աշխատանք → from work	աշխատանքից	ablative	15	ablative
դաս → from class	դասից	ablative	15	ablative
հանդիպում → from a meeting	հանդիպումից	ablative	15	ablative
Լոնդոն → from London	Լոնդոնից	ablative	9	ablative
Which city are you from?	Ո՞ր քաղաքից ես։	ablative	7	ablative,question
in two weeks	երկու շաբաթից	ablative	20	ablative,time
In how many days?	Քանի՞ օրից։	ablative	20	ablative,time,question
in an hour	մի ժամից	ablative	23	ablative,time
before / after our class	մեր դասից առաջ / հետո	ablative	19	ablative,postposition
ten degrees below zero	տասն աստիճան զրոյից ցածր	ablative	19	ablative,weather
two of my friends	իմ ընկերներից երկուսը	ablative	38	ablative
It is five to one.	Ժամը մեկից հինգ է պակաս։	ablative	22	ablative,time
