Where are you from?	Որտեղի՞ց ես։
Վրաստան → I am from Georgia	Ես Վրաստանից եմ։
Which city are you from?	Ո՞ր քաղաքից ես։
Լոնդոն → from London	Լոնդոնից
տուն → from home	տնից
բանկ → from the bank	բանկից
հյուրանոց → from the hotel	հյուրանոցից
սրճարան → from the cafe	սրճարանից
դեղատուն → from the pharmacy	դեղատնից
աշխատանք → from work	աշխատանքից
դաս → from class	դասից
հանդիպում → from a meeting	հանդիպումից
before / after our class	մեր դասից առաջ / հետո
ten degrees below zero	տասն աստիճան զրոյից ցածր
in two weeks	երկու շաբաթից
In how many days?	Քանի՞ օրից։
It is five to one.	Ժամը մեկից հինգ է պակաս։
in an hour	մի ժամից
two of my friends	իմ ընկերներից երկուսը
