prompt	answer	rule	lesson	tags
Հայաստան → nationality	հայ	nationality-suffixes	6	countries
Հայաստան → language	հայերեն	nationality-suffixes	2	languages
Հայաստան → adjective	հայկական	nationality-suffixes	6	countries
Հունաստան → nationality	հույն	nationality-suffixes	6	countries
Հունաստան → language	հունարեն	nationality-suffixes	6	languages
Հունաստան → adjective	հունական	nationality-suffixes	6	countries
Ռուսաստան → nationality	ռուս	nationality-suffixes	39	countries
Ռուսաստան → language	ռուսերեն	nationality-suffixes	2	languages
German (language)	գերմաներեն	nationality-suffixes	2	languages
Italian (language)	իտալերեն	nationality-suffixes	2	languages
English (language)	անգլերեն	nationality-suffixes	2	languages
Վրաստան → nationality	վրացի	nationality-suffixes	39	countries
Վրաստան → language	վրացերեն	nationality-suffixes	39	languages
Ֆրանսիա → nationality	ֆրանսիացի	nationality-suffixes	39	countries
Ֆրանսիա → language	ֆրանսերեն	nationality-suffixes	39	languages
Ֆրանսիա → adjective	ֆրանսիական	nationality-suffixes	39	countries
Չինաստան → nationality	չինացի	nationality-suffixes	39	countries
Չինաստան → language	չինարեն	nationality-suffixes	39	languages
Ամերիկա (ԱՄՍ) → nationality	ամերիկացի	nationality-suffixes	39	countries
Ամերիկա (ԱՄՍ) → language	անգլերեն	nationality-suffixes	39	languages
Ամերիկա (ԱՄՍ) → adjective	ամերիկյան	nationality-suffixes	39	countries
Անգլիա → nationality	անգլիացի	nationality-suffixes	39	countries
Ճապոնիա → nationality	ճապոնացի	nationality-suffixes	39	countries
Ճապոնիա → language	ճապոներեն	nationality-suffixes	39	languages
Հնդկաստան → nationality	հնդիկ	nationality-suffixes	39	countries
Թուրքիա → nationality	թուրք	nationality-suffixes	39	countries
Իրան / Պարսկաստան → nationality	իրանցի / պարսիկ	nationality-suffixes	39	countries
Սիրիա → language	արաբերեն	nationality-suffixes	39	languages
Բրազիլիա → language	պորտուգալերեն	nationality-suffixes	39	languages
Where are you from? — I am from Georgia.	Որտեղի՞ց ես։ — Ես Վրաստանից եմ։	nationality-suffixes	1	countries,ablative
