prompt	answer	rule	lesson	tags
կարողանալ → I can	Ես կարող եմ	can	9	modal
կարողանալ → you (sg.) can	Դու կարող ես	can	9	modal
կարողանալ → he/she can	Նա կարող է	can	9	modal
կարողանալ → we can	Մենք կարող ենք	can	9	modal
կարողանալ → you (pl.) can	Դուք կարող եք	can	9	modal
կարողանալ → they can	Նրանք կարող են	can	9	modal
կարողանալ → I can't	Ես չեմ կարող	can	9	modal,negation
կարողանալ → he/she can't	Նա չի կարող	can	9	modal,negation
կարողանալ → they can't	Նրանք չեն կարող	can	9	modal,negation
Can you help me?	Կարո՞ղ ես օգնել ինձ։	can	9	modal,question
I can meet my friends very often.	Կարող եմ հանդիպել իմ ընկերներին շատ հաճախ։	can	14	modal
I can't stay.	Չեմ կարող մնալ։	can	26	modal,negation
Anything can happen.	Ամեն ինչ կարող է պատահել։	can	26	modal
