I have to go to the meeting.	Ես պետք է գնամ հանդիպման։
գնալ → I have to go	Ես պիտի գնամ
գնալ → you (sg.) have to go	Դու պիտի գնաս
գնալ → he/she has to go	Նա պիտի գնա
գնալ → we have to go	Մենք պիտի գնանք
գնալ → you (pl.) have to go	Դուք պետք է գնաք
գնալ → they have to go	Նրանք պետք է գնան
գնալ → I don't have to go (two ways)	Ես չպիտի գնամ / Ես պիտի չգնամ
ուտել → I have to eat	Ես պիտի ուտեմ
ուտել → he/she has to eat	Նա պիտի ուտի
ուտել → we have to eat	Մենք պիտի ուտենք
ուտել → they have to eat	Նրանք պիտի ուտեն
ուտել → he/she doesn't have to eat	Նա չպիտի ուտի
խմել → You should not drink much.	Դու չպետք է շատ խմես։
մնալ → Your parents have to stay at home.	Քո ծնողները պետք է մնան տանը։
A good friend should…	Լավ ընկերը պետք է…
աշխատել → I have to work (spoken)	Ես պետք ա աշխատեմ
զանգել → I have to call my colleagues	Պետք ա զանգեմ իմ գործընկերներին։
