prompt	answer	rule	lesson	tags
կարճ → antonym	երկար	adjectives-comparison	13	adjective,antonym
բարակ → antonym	հաստ	adjectives-comparison	13	adjective,antonym
բարձր → antonym	ցածր	adjectives-comparison	13	adjective,antonym
բարձրահասակ (բոյով) → antonym	ցածրահասակ (կոլոտ)	adjectives-comparison	13	adjective,antonym
գեր (չաղ) → antonym	նիհար	adjectives-comparison	13	adjective,antonym
ուժեղ → antonym	թույլ	adjectives-comparison	13	adjective,antonym
հարուստ → antonym	աղքատ	adjectives-comparison	13	adjective,antonym
հին → antonym	նոր	adjectives-comparison	13	adjective,antonym
ծեր → antonym	երիտասարդ	adjectives-comparison	13	adjective,antonym
տխուր → antonym	ուրախ	adjectives-comparison	13	adjective,antonym
more (comparative word)	ավելի	adjectives-comparison	13	comparison
less (comparative word)	պակաս	adjectives-comparison	13	comparison
than	քան	adjectives-comparison	13	comparison
the most (prefix)	ամենա-	adjectives-comparison	13	comparison
from all (superlative word)	ամենից	adjectives-comparison	13	comparison
լավ → better	ավելի լավ	adjectives-comparison	13	comparison
լավ → less good	պակաս լավ	adjectives-comparison	13	comparison
լավ → the best	ամենալավ / լավագույն	adjectives-comparison	13	comparison
մեծ → the biggest	ամենամեծ / մեծագույն	adjectives-comparison	13	comparison
սիրուն → the prettiest	ամենասիրուն	adjectives-comparison	13	comparison
սովորական → more ordinary	ավելի սովորական	adjectives-comparison	13	comparison
She is kinder than me.	Նա ավելի բարի է, քան ես։	adjectives-comparison	13	comparison
հեշտ → antonym	դժվար	adjectives-comparison	36	adjective,antonym
