սրճարան → in the cafe	սրճարանում
Ֆրանսիա → in France	Ֆրանսիայում
նկար → in the picture	նկարում
դարակ → on the shelf	դարակում
Իրան → in Iran	Իրանում
հյուրասենյակ → in the living room	հյուրասենյակում
տուն → at home	տանը
I am at home.	Ես տանն եմ։
Which street do you live on?	Ո՞ր փողոցում ես ապրում։
Երևան → in Yerevan	Երևանում
հարկ → on the fourth floor	չորրորդ հարկում
Փարիզ → in Paris	Փարիզում
խոհանոց → in the kitchen	խոհանոցում
Հայաստան → in Armenia	Հայաստանում
Մադրիդ → in Madrid	Մադրիդում
հիվանդանոց → in the hospital	հիվանդանոցում
Իսպանիա → in Spain	Իսպանիայում
Կորեա → in Korea	Կորեայում
Ճապոնիա → in Japan	Ճապոնիայում
