prompt	answer	rule	lesson	tags
We were drinking coffee. (neutral order)	Մենք խմում էինք սուրճ։	word-order	19	word-order
We were drinking coffee. (object in focus)	Մենք սուրճ էինք խմում։	word-order	19	word-order
What are you doing?	Ի՞նչ ես անում։	word-order	5	word-order,question
Where are you going?	Ո՞ւր ես գնում։	word-order	15	word-order,question
I speak Armenian.	Ես խոսում եմ հայերեն։	word-order	5	word-order
We always speak Armenian.	Մենք միշտ խոսում ենք հայերեն։	word-order	5	word-order
They usually don't speak Armenian.	Նրանք սովորաբար չեն խոսում հայերեն։	word-order	5	word-order,negation
I smoke twenty cigarettes a day. (object in focus)	Օրը քսան սիգարետ եմ ծխում։	word-order	12	word-order
Are you coming home?	Դու գալի՞ս ես տուն։	word-order	2	word-order,question
You talk on the phone very long.	Դու շատ երկար ես խոսում հեռախոսով։	word-order	3	word-order
